Unnamed: 0,obs,gpa,iq,gender,concept
0,1,3.109,111,2,67
1,2,3.269,107,2,43
2,3,1.61,100,2,52
3,4,2.895,107,2,66
4,5,3.537,114,1,58
5,6,2.948,115,2,51
6,7,2.977,111,2,71
7,8,0.596,97,2,51
8,9,2.227,100,1,49
9,10,3.515,112,2,51
10,11,2.895,104,1,35
11,12,2.013,89,1,54
12,13,2.758,104,2,54
13,14,2.941,102,1,64
14,15,1.636,91,1,56
15,16,3.212,114,1,69
16,17,3.055,114,1,55
17,18,2.954,103,1,65
18,19,1.318,106,2,40
19,20,2.332,105,1,66
20,21,4.0,113,2,55
21,22,0.52,109,2,20
22,24,2.418,108,1,56
23,26,3.885,113,2,68
24,27,4.531,130,1,69
25,28,4.0,128,2,70
26,29,3.786,128,2,80
27,30,3.136,118,2,53
28,31,3.857,113,2,65
29,32,3.85,120,1,67
30,33,3.59,132,1,62
31,34,3.288,111,1,39
32,35,3.216,124,2,71
33,36,3.136,127,2,59
34,37,3.742,128,1,60
35,38,3.818,136,2,64
36,39,3.667,106,2,71
37,40,4.0,118,1,72
38,41,4.0,119,1,54
39,43,4.0,123,2,64
40,44,3.938,124,2,58
41,45,3.777,126,2,70
42,46,3.667,116,2,72
43,47,3.749,127,2,70
44,48,3.212,119,2,47
45,50,1.158,97,2,52
46,51,1.049,86,1,46
47,52,1.289,102,2,66
48,53,2.758,110,2,67
49,54,2.976,120,2,63
50,55,0.52,103,2,53
51,56,2.306,115,2,67
52,57,2.816,93,2,61
53,58,2.816,72,1,54
54,59,3.563,111,1,60
55,60,3.083,103,1,60
56,61,3.297,123,2,63
57,62,1.801,79,2,30
58,63,3.216,119,2,54
59,64,3.243,110,2,66
60,65,2.949,110,2,44
61,68,2.976,107,2,49
62,69,1.88,74,1,44
63,71,3.057,105,2,67
64,72,2.833,112,1,64
65,74,3.667,105,2,73
66,76,3.135,110,2,59
67,77,3.461,107,1,37
68,78,3.06,103,1,63
69,79,1.72,77,2,36
70,80,3.135,98,1,64
71,83,1.236,90,2,42
72,84,2.198,96,1,28
73,85,3.591,112,1,60
74,86,3.818,112,1,70
75,87,2.253,114,2,51
76,88,2.253,93,1,21
77,89,2.654,106,2,56
